Regiocode;Regionaam;Soort regio;Aantal inwoners;0015;1525;2545;4565;65+
GM0216;Culemborg;Gemeente;28.955;4.794;3.455;6.745;8.688;5.273
GM0148;Dalfsen;Gemeente;28.587;4.800;3.546;5.801;8.374;6.066
GM1891;Dantumadiel;Gemeente;18.922;3.102;2.255;3.969;5.368;4.228
GM0310;De Bilt;Gemeente;43.137;7.242;4.669;8.427;12.416;10.383
GM1940;De Fryske Marren;Gemeente;51.564;8.134;5.845;10.425;15.126;12.034
GM0736;De Ronde Venen;Gemeente;44.456;6.863;5.237;9.228;13.865;9.263
GM1690;De Wolden;Gemeente;24.330;3.573;2.889;4.459;7.562;5.847
GM0503;Delft;Gemeente;103.595;12.753;20.488;30.220;23.650;16.484
GM0010;Delfzijl;Gemeente;24.678;3.447;2.618;4.917;7.457;6.239
GM0796;Den Bosch;Gemeente;155.111;23.690;18.007;41.751;43.454;28.209
GM0518;Den Haag;Gemeente;545.838;92.553;67.978;164.274;141.195;79.838
GM0400;Den Helder;Gemeente;56.296;8.065;6.093;12.842;16.437;12.859
GM0762;Deurne;Gemeente;32.471;4.911;3.840;7.028;9.651;7.041
GM0150;Deventer;Gemeente;100.719;16.168;12.474;25.524;28.215;18.338
GM0384;Diemen;Gemeente;30.780;4.585;5.075;9.159;7.270;4.691
GM1774;Dinkelland;Gemeente;26.461;3.949;3.565;5.254;7.839;5.854
GM0221;Doesburg;Gemeente;11.077;1.400;1.225;1.989;3.567;2.896
GM0222;Doetinchem;Gemeente;58.001;8.852;6.830;13.027;17.111;12.181
GM0766;Dongen;Gemeente;26.222;3.958;2.995;5.978;7.701;5.590
GM0505;Dordrecht;Gemeente;119.284;18.603;14.021;30.227;33.460;22.973
GM0498;Drechterland;Gemeente;19.719;3.144;2.373;4.287;5.663;4.252
GM1719;Drimmelen;Gemeente;27.272;3.821;3.027;5.766;8.450;6.208
GM0303;Dronten;Gemeente;41.555;6.958;5.472;9.696;11.974;7.455
GM0225;Druten;Gemeente;18.926;2.882;2.275;4.107;5.941;3.721
GM0226;Duiven;Gemeente;25.126;3.688;3.168;4.989;8.468;4.813
GM1711;Echt Susteren;Gemeente;31.610;3.892;3.066;6.401;10.102;8.149
GM0385;Edam Volendam;Gemeente;36.197;5.701;4.608;7.799;10.424;7.665
GM0228;Ede;Gemeente;117.165;20.889;15.603;28.331;30.674;21.668
GM0317;Eemnes;Gemeente;9.247;1.473;1.135;1.798;2.934;1.907
GM1979;Eemsdelta;Gemeente;46.000;;;;;
GM0770;Eersel;Gemeente;19.313;2.859;2.131;4.116;5.853;4.354
GM1903;Eijsden Margraten;Gemeente;25.768;3.570;2.721;5.175;7.758;6.544
GM0772;Eindhoven;Gemeente;234.394;33.084;32.312;73.186;56.715;39.097
GM0230;Elburg;Gemeente;23.161;4.228;2.889;5.222;6.255;4.567
GM0114;Emmen;Gemeente;107.048;15.379;12.266;22.813;31.884;24.706
GM0388;Enkhuizen;Gemeente;18.591;2.888;1.980;4.397;5.241;4.085
GM0153;Enschede;Gemeente;159.640;23.480;25.508;41.287;40.945;28.420
GM0232;Epe;Gemeente;33.178;4.832;3.678;6.539;9.675;8.454
GM0233;Ermelo;Gemeente;27.008;4.116;3.318;5.575;7.685;6.314
GM0777;Etten Leur;Gemeente;43.878;7.280;4.743;10.365;12.468;9.022
GM0779;Geertruidenberg;Gemeente;21.544;3.349;2.302;4.986;6.364;4.543
GM1771;Geldrop Mierlo;Gemeente;39.726;6.051;4.441;9.011;11.471;8.752
GM1652;Gemert Bakel;Gemeente;30.723;4.926;3.458;7.280;8.977;6.082
GM0907;Gennep;Gemeente;16.921;2.428;1.786;3.388;5.297;4.022
GM0784;Gilze en Rijen;Gemeente;26.431;4.145;3.017;5.918;7.740;5.611
GM1924;Goeree Overflakkee;Gemeente;50.049;7.999;5.705;10.839;14.552;10.954
GM0664;Goes;Gemeente;38.082;5.475;4.235;8.409;10.948;9.015
GM0785;Goirle;Gemeente;23.904;3.989;2.374;5.133;6.862;5.546
GM1942;Gooise Meren;Gemeente;58.055;10.873;6.168;12.009;16.694;12.311
GM0512;Gorinchem;Gemeente;37.022;5.961;4.453;9.288;10.537;6.783
GM0513;Gouda;Gemeente;73.427;12.023;8.748;18.458;20.115;14.083
GM0786;Grave;Gemeente;12.436;1.782;1.430;2.656;3.739;2.829
GM0014;Groningen;Gemeente;232.874;28.659;50.412;68.952;50.650;34.201
GM1729;Gulpen Wittem;Gemeente;14.171;1.544;1.298;2.618;4.641;4.070
GM0158;Haaksbergen;Gemeente;24.311;3.583;2.834;4.684;7.315;5.895
GM0788;Haaren;Gemeente;14.370;1.970;1.731;2.770;4.572;3.327
GM0392;Haarlem;Gemeente;162.902;27.475;16.662;47.704;43.192;27.869
GM0394;Haarlemmermeer;Gemeente;156.002;26.479;19.522;36.808;46.691;26.502
GM1655;Halderberge;Gemeente;30.284;4.387;3.204;6.419;9.101;7.173
GM0160;Hardenberg;Gemeente;60.948;10.592;7.827;13.873;17.240;11.416
GM0243;Harderwijk;Gemeente;48.414;8.581;5.703;12.042;13.157;8.931
GM0523;Hardinxveld Giessendam;Gemeente;18.295;3.554;2.344;4.376;4.601;3.420
GM0072;Harlingen;Gemeente;15.722;2.334;1.756;3.104;4.531;3.997
GM0244;Hattem;Gemeente;12.209;2.092;1.445;2.526;3.429;2.717
GM0396;Heemskerk;Gemeente;39.182;5.733;4.468;8.597;11.644;8.740
GM0397;Heemstede;Gemeente;27.234;4.842;2.545;4.851;7.665;7.331
GM0246;Heerde;Gemeente;18.589;2.951;2.050;3.626;5.560;4.402
GM0074;Heerenveen;Gemeente;50.493;8.019;5.827;10.932;14.705;11.010
GM0398;Heerhugowaard;Gemeente;57.587;10.361;6.958;14.603;15.373;10.292
GM0917;Heerlen;Gemeente;87.086;11.048;9.056;20.794;26.016;20.172
GM1658;Heeze Leende;Gemeente;16.152;2.287;1.768;3.252;4.893;3.952
GM0399;Heiloo;Gemeente;23.968;3.573;2.665;4.226;7.171;6.333
GM0163;Hellendoorn;Gemeente;35.916;5.767;4.236;7.797;10.111;8.005
GM0530;Hellevoetsluis;Gemeente;40.142;6.127;4.290;9.213;11.886;8.626
GM0794;Helmond;Gemeente;92.423;15.139;11.228;23.029;26.975;16.052
GM0531;Hendrik Ido Ambacht;Gemeente;31.202;6.458;3.572;7.837;8.127;5.208
GM0164;Hengelo;Gemeente;81.140;12.106;10.024;19.519;23.124;16.367
GM1966;Het Hogeland;Gemeente;47.801;7.307;5.396;9.419;14.410;11.269
GM0252;Heumen;Gemeente;16.454;2.373;1.898;3.039;5.181;3.963
