Regiocode;Regionaam;Soort regio;Aantal inwoners;0015;1525;2545;4565;65+
GM0866;Waalre;Gemeente;17.456;2.912;1.786;3.516;5.063;4.179
GM0867;Waalwijk;Gemeente;48.637;7.392;5.297;11.937;13.612;10.399
GM0627;Waddinxveen;Gemeente;29.291;5.248;3.261;7.455;7.579;5.748
GM0289;Wageningen;Gemeente;39.664;4.899;8.890;10.876;8.603;6.396
GM0629;Wassenaar;Gemeente;26.305;4.351;3.069;4.245;7.894;6.746
GM0852;Waterland;Gemeente;17.424;2.736;1.859;3.281;5.254;4.294
GM0988;Weert;Gemeente;50.105;6.928;5.581;11.247;14.620;11.729
GM0457;Weesp;Gemeente;19.738;3.338;1.859;5.023;5.588;3.930
GM1960;West Betuwe;Gemeente;51.128;8.734;6.268;10.906;15.264;9.956
GM0668;West Maas en Waal;Gemeente;19.324;2.779;2.153;4.018;6.287;4.087
GM1969;Westerkwartier;Gemeente;63.329;10.844;7.302;13.437;18.685;13.061
GM1701;Westerveld;Gemeente;19.460;2.449;1.949;3.278;6.199;5.585
GM0293;Westervoort;Gemeente;14.971;2.224;1.557;3.405;4.767;3.018
GM1950;Westerwolde;Gemeente;25.733;3.696;2.596;4.802;7.885;6.754
GM1783;Westland;Gemeente;110.375;18.349;13.096;27.052;30.475;21.403
GM0098;Weststellingwerf;Gemeente;25.914;3.936;2.773;5.321;7.673;6.211
GM0614;Westvoorne;Gemeente;14.731;1.923;1.480;2.594;4.794;3.940
GM0189;Wierden;Gemeente;24.446;4.229;2.904;5.318;6.800;5.195
GM0296;Wijchen;Gemeente;41.110;6.249;4.860;8.644;12.587;8.770
GM1696;Wijdemeren;Gemeente;24.358;3.730;2.640;4.542;7.634;5.812
GM0352;Wijk bij Duurstede;Gemeente;23.914;3.867;2.775;4.928;7.543;4.801
GM0294;Winterswijk;Gemeente;28.854;4.131;3.399;5.926;8.632;6.766
GM0873;Woensdrecht;Gemeente;21.876;3.017;2.307;4.487;6.733;5.332
GM0632;Woerden;Gemeente;52.299;9.168;6.355;11.969;14.859;9.948
GM0880;Wormerland;Gemeente;16.270;2.318;1.996;3.146;4.994;3.816
GM0351;Woudenberg;Gemeente;13.362;2.639;1.688;3.019;3.475;2.541
GM0479;Zaanstad;Gemeente;156.794;25.798;18.155;40.293;43.778;28.770
GM0297;Zaltbommel;Gemeente;28.881;5.288;3.820;6.643;7.887;5.243
GM0473;Zandvoort;Gemeente;17.116;2.266;1.581;3.526;5.244;4.499
GM0050;Zeewolde;Gemeente;22.653;3.919;3.124;5.571;7.033;3.006
GM0355;Zeist;Gemeente;64.905;11.285;7.858;14.791;17.354;13.617
GM0299;Zevenaar;Gemeente;43.750;6.246;4.623;9.383;12.819;10.679
GM0637;Zoetermeer;Gemeente;125.285;21.059;14.279;30.994;34.957;23.996
GM0638;Zoeterwoude;Gemeente;8.605;1.333;1.007;1.811;2.669;1.785
GM1892;Zuidplas;Gemeente;43.885;7.918;5.091;10.202;12.537;8.137
GM0879;Zundert;Gemeente;21.829;2.859;2.457;4.693;6.954;4.866
GM0301;Zutphen;Gemeente;47.934;7.155;5.602;10.258;14.342;10.577
GM1896;Zwartewaterland;Gemeente;22.685;4.631;3.162;5.365;5.642;3.885
GM0642;Zwijndrecht;Gemeente;44.737;7.198;4.917;10.632;11.833;10.157
GM0193;Zwolle;Gemeente;128.840;22.650;16.499;36.310;32.908;20.473
